id,warehouse_id,taxon,form,colour {filter []},colour {filter []},colour {filter []},colour {filter []},colour {comment},size {filter []},size {filter []},size {filter []},size {filter []},size {comment},pronotum {filter []},pronotum {filter []},pronotum {filter []},pronotum {comment},pattern,spots,spot_fusions,melanic,leg,food [],food [],food [],UK {exist},UK {order},UK {common_name},UK {habitat {comment[]}},UK {habitat {comment[]}},UK {habitat {comment[]}},UK {habitat {filter[]}},UK {habitat {filter[]}},UK {habitat {filter[]}},UK {habitat {filter[]}},UK {plant[]},UK {plant[]},UK {plant[]},UK {overwintering},UK {comment},SK {exist},SK {order},SK {common_name},SK {habitat {comment[]}},SK {habitat {comment[]}},SK {habitat {comment[]}},SK {habitat {filter[]}},SK {habitat {filter[]}},SK {habitat {filter[]}},SK {habitat {filter[]}},SK {habitat {filter[]}},SK {habitat {filter[]}},SK {plant[]},SK {plant[]},SK {plant[]},SK {overwintering []},SK {comment_EN},SK {comment},CZ {exist},CZ {order},CZ {common_name},CZ {habitat {comment[]}},CZ {habitat {comment[]}},CZ {habitat {comment[]}},CZ {habitat {filter[]}},CZ {habitat {filter[]}},CZ {habitat {filter[]}},CZ {habitat {filter[]}},CZ {habitat {filter[]}},CZ {habitat {filter[]}},CZ {plant[]},CZ {plant[]},CZ {plant[]},CZ {overwintering []},CZ {comment_EN},CZ {comment},IT {exist},IT {order},IT {common_name},IT {habitat {comment[]}},IT {habitat {comment[]}},IT {habitat {comment[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {plant[]},IT {plant[]},IT {plant[]},IT {overwintering []},IT {comment_EN},IT {comment},PT {exist},PT {order},PT {common_name},PT {habitat {comment[]}},PT {habitat {comment[]}},PT {habitat {comment[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {plant[]},PT {plant[]},PT {plant[]},PT {overwintering []},PT {comment_EN},PT {comment},BE {exist},BE {order},BE {common_name {NL}},BE {common_name {FR}},BE {habitat {comment[]}},BE {habitat {comment[]}},BE {habitat {comment[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {plant[]},BE {plant[]},BE {plant[]},BE {overwintering []},BE {comment_EN},BE {comment {NL}},BE {comment {FR}},?,Common Name,Habitat,Habitat,Habitat,Habitat,Habitat,Habitat,Habitat,Habitat,Habitat,Habitat,Host plant,Overwintering,Comments in native language
26,48704,Harmonia axyridis,axyridis,black,,,,Black,6,7,8,,5.0 - 8.0,with white patch on each side,,,Black with a white patch on each side,Orange-red spots,12,No,,Brown,"Aphids, coccids, adelgids, coccinellids, fruit",,,NO,,Harlequin ladybird,Very varied,,,"Gardens, allotments and parklands","Urban, artificial habitats",,,Various deciduous trees,Various conifers,Shrubs,"In houses, on rocky surfaces",,YES,42,Lienka východná,Very varied,,,"Gardens, allotments and parklands","Urban, artificial habitats",Forests and woodlands,Agricultural areas,Heathland,Wet habitats,Various deciduous trees,Various conifers,Shrubs,"In houses, on rocky surfaces",,,YES,42,Slunéčko východní ,Very varied,,,"Gardens, allotments and parklands","Urban, artificial habitats",Forests and woodlands,Agricultural areas,Heathland,Wet habitats,Various deciduous trees,Various conifers,Shrubs,"In houses, on rocky surfaces",,,YES,17,Coccinella arlecchino,Very varied,,,Sand dunes,River shingle,Wet habitats,Agricultural areas,Grasslands,"Gardens, allotments and parklands","Urban, artificial habitats",Forests and woodlands,Meadows,Heathland,Various deciduous trees,Various conifers,Shrubs,"In houses, on rocky surfaces","Alien species recently introduces, very common in every habitat","Specie aliena di recente introduzione, molto comune in tutti gli ambienti",YES,43,"Joaninha vermelha, Joaninha asiática",unknown,,,,,,,,,,,,,,,,unknown,status unknown,,YES,51,Veelkleurig Aziatisch lieveheersbeestje,Coccinelle asiatique,Very varied,,,"Gardens, allotments and parklands","Urban, artificial habitats",,,,,,,,,Various deciduous trees,Various conifers,Shrubs,"In houses, on rocky surfaces",,,,,,,,,,,,,,,,,,
27,48704,Harmonia axyridis,intermedia,yellow,orange,red,black,Orange-red,6,7,8,,5.0 - 8.0,with white patch on each side,,,Black with a white patch on each side,Orange-red spots,2,No,,Brown,"Aphids, coccids, adelgids, coccinellids, fruit",,,NO,,Harlequin ladybird,Very varied,,,"Gardens, allotments and parklands","Urban, artificial habitats",,,Various deciduous trees,Various conifers,Shrubs,"In houses, on rocky surfaces",,NO,,Lienka východná,Very varied,,,"Gardens, allotments and parklands","Urban, artificial habitats",Forests and woodlands,Agricultural areas,Heathland,Wet habitats,Various deciduous trees,Various conifers,Shrubs,"In houses, on rocky surfaces",,,NO,,Slunéčko východní ,Very varied,,,"Gardens, allotments and parklands","Urban, artificial habitats",Forests and woodlands,Agricultural areas,Heathland,Wet habitats,Various deciduous trees,Various conifers,Shrubs,"In houses, on rocky surfaces",,,YES,16,Coccinella arlecchino,Very varied,,,Sand dunes,River shingle,Wet habitats,Agricultural areas,Grasslands,"Gardens, allotments and parklands","Urban, artificial habitats",Forests and woodlands,Meadows,Heathland,Various deciduous trees,Various conifers,Shrubs,"In houses, on rocky surfaces","Alien species recently introduces, very common in every habitat","Specie aliena di recente introduzione, molto comune in tutti gli ambienti",YES,44,"Joaninha vermelha, Joaninha asiática",unknown,,,,,,,,,,,,,,,,unknown,status unknown,,YES,52,Veelkleurig Aziatisch lieveheersbeestje,Coccinelle asiatique,Very varied,,,"Gardens, allotments and parklands","Urban, artificial habitats",,,,,,,,,Various deciduous trees,Various conifers,Shrubs,"In houses, on rocky surfaces",,,,,,,,,,,,,,,,,,
28,122406,Chilocorus bipustulatus,,black,,,,Black,3,4,,,3 - 4.0,one colour,,,Black,Red spots,2-6  (usually 6),Sometimes,No,Black,Coccids,,,YES,34,Heather ladybird,"Heather heathland, conifer scrub",,,Heathland,Forests and woodlands,"Gardens, allotments and parklands",,"Various heathers, occasionally trees esp. Leylandii",,,In litter or in bark crevices,,YES,33,Planétka dvojškvrnná,"Heather heathland, conifer scrub",,,Heathland,Forests and woodlands,"Gardens, allotments and parklands","Urban, artificial habitats",,,"Various heathers, occasionally trees esp. Leylandii",,,In litter or in bark crevices,,,YES,33,Planetka dvojskvrnná,"Heather heathland, conifer scrub",,,Heathland,Forests and woodlands,"Gardens, allotments and parklands","Urban, artificial habitats",,,"Various heathers, occasionally trees esp. Leylandii",,,In litter or in bark crevices,,,YES,27,,"Heather heathland, conifer scrub",Deciduous trees and hedgerows ,,Forests and woodlands,"Gardens, allotments and parklands",Agricultural areas,Heathland,,,,,,,"Various heathers, occasionally trees esp. Leylandii",,,In litter or in bark crevices,"Species widely distributed, able to occupy a wide range of habitats, from grasslands to woodlands (especially conifers)","Specie ampiamente diffusa, euritopa, erbicola ed arboricola (specialmente su conifere). ",YES,10,,"Heather heathland, conifer scrub",Deciduous trees and hedgerows ,,Agricultural areas,"Gardens, allotments and parklands",Forests and woodlands,,,,,,,,Various trees,,,In litter or in bark crevices,"Species common throughout the continental territory. Found on Olive trees, citrus and conifers (e.g., Pinus and Cupressus). Present in the Archipelagos of the Azores (e.g on Strelitzia and citrus trees) and Madeira.","Espécie comum em todo o território continental. Presente sobre oliveiras, citrinos e coníferas (e.g. Pinus e Cupressus). Espécie presente nos arquipélagos dos Açores (e.g. Strelitzia e citrinos) e da Madeira",YES,42,Heidelieveheersbeestje,"Coccinelle des bruyères, Coccinelle des landes","Heather heathland, conifer scrub",,,Heathland,Forests and woodlands,"Gardens, allotments and parklands","Urban, artificial habitats",Sand dunes,,,,,,Various heathers,,,In litter or in bark crevices,,,,,,,,,,,,,,,,,,
29,50544,Coccinella hieroglyphica,typica,brown,,,,Brown,4,5,,,4.0 - 5.0,with white patch on each side,,,Black with anterior-lateral white marks,"Black stripes, spots and patches",0-7 (usually 5),Common,Common,Black,Larvae of heather leaf beetle,,,YES,32,Hieroglyphic ladybird,Heather heathland,,,Heathland,,,,Various heathers,,,Litter under heather,,YES,52,Lienka vresová,Heather heathland,,,Heathland,,,,,,Various heathers,,,Litter under heather,,,YES,52,Slunéčko vřesové ,Heather heathland,,,Heathland,,,,,,Various heathers,,,Litter under heather,,,YES,56,,Heather heathland,,,Heathland,,,,,,,,,,Various heathers,,,Litter under heather,"The species has limited distribution, being present only in Northern Italy, in few sites of Alps and Prealps","Specie a distribuzione limitata, è presente in nell'Italia settentrionale, solo in alcune località delle Alpi e delle Prealpi.",NO,,,,,,,,,,,,,,,,,,,,,,YES,33,Hiërogliefenlieveheersbeestje,Coccinelle à hiéroglyphes,Heather heathland,,,Heathland,,,,,,,,,,Various heathers,,,Litter under heather,,,,,,,,,,,,,,,,,,
30,50544,Coccinella hieroglyphica,areata,black,,,,Black,4,5,,,4.0 - 5.0,with white patch on each side,,,Black with anterior-lateral white marks,"Orange stripes, spots and patches",0-7 (usually 2),Common,,Black,Larvae of heather leaf beetle,,,YES,33,Hieroglyphic ladybird,Heather heathland,,,Heathland,,,,Various heathers,,,Litter under heather,,YES,54,Lienka vresová,Heather heathland,,,Heathland,,,,,,Various heathers,,,Litter under heather,,,YES,54,Slunéčko vřesové ,Heather heathland,,,Heathland,,,,,,Various heathers,,,Litter under heather,,,YES,57,,Heather heathland,,,Heathland,,,,,,,,,,Various heathers,,,Litter under heather,"The species has limited distribution, being present only in Northern Italy, in few sites of Alps and Prealps","Specie a distribuzione limitata, è presente in nell'Italia settentrionale, solo in alcune località delle Alpi e delle Prealpi.",NO,,,,,,,,,,,,,,,,,,,,,,YES,34,Hiërogliefenlieveheersbeestje,Coccinelle à hiéroglyphes,Heather heathland,,,Heathland,,,,,,,,,,Various heathers,,,Litter under heather,,,,,,,,,,,,,,,,,,
31,34059,Chilocorus renipustulatus,,black,,,,Black,4,5,,,4.0 - 5.0,one colour,,,Black,Red spots,2,No,No,Black,Coccids,,,YES,19,Kidney-spot ladybird,Deciduous woodland,,,Forests and woodlands,"Gardens, allotments and parklands",,,"Various deciduous trees, particularly sallows and ash",,,"In sheltered positions on deciduous trees, usually near base",,YES,30,Planétka obličkoškvrnná,Deciduous woodland,,,Forests and woodlands,"Gardens, allotments and parklands","Urban, artificial habitats",,,,"Various deciduous trees, particularly sallows and ash",,,"In sheltered positions on deciduous trees, usually near base",,,YES,30,Planetka ledvinoskvrnná,Deciduous woodland,,,Forests and woodlands,"Gardens, allotments and parklands","Urban, artificial habitats",,,,"Various deciduous trees, particularly sallows and ash",,,"In sheltered positions on deciduous trees, usually near base",,,YES,59,,Deciduous woodland,,,Forests and woodlands,"Gardens, allotments and parklands",,,,,,,,,"Various deciduous trees, particularly sallows and ash",,,"In sheltered positions on deciduous trees, usually near base",The species is present only in Northern Italy,La specie è presente solo nell'Italia Settentrionale,NO,,,,,,,,,,,,,,,,,,,,,,YES,32,"Wilgenlieveheersbeestje, Niervleklieveheersbeestje",Coccinelle des saules,Deciduous woodland,,,Forests and woodlands,"Gardens, allotments and parklands",,,,,,,,,"Various deciduous trees, particularly sallows and ash",,,"In sheltered positions on deciduous trees, usually near base",,,,,,,,,,,,,,,,,,
32,18083,Aphidecta obliterata,,brown,,,,Tan brown,4,5,,,4.0 - 5.0,with spots,M-shape,,Beige with brown m-mark,None or dark oblique line posteriorly,0-10  (usually spotless),Rare,Rare,Brown,"Adelgids, coccids",,,YES,26,Larch ladybird,Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands",,,Various conifers,,,Bark crevices of conifers,,YES,22,Lienka hôrna,Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands","Urban, artificial habitats",,,,Various conifers,,,Bark crevices of conifers,,,YES,22,Slunéčko lesní,Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands","Urban, artificial habitats",,,,Various conifers,,,Bark crevices of conifers,,,YES,47,Coccinella del larice,Conifer woodlands,,,Forests and woodlands,,,,,,,,,,"Larch, firs, pines, etc",,,Bark crevices of conifers,"The species is arboreal and tied to conifers, despite occasionally it can be found on beech and broadleaves woodlands. It is absent in the Islands","La specie è arboricola e legata alle conifere, anche se occasionalmente si rinviene anche in faggete e boschi di latifoglie. E' assente nelle Isole",NO,,,,,,,,,,,,,,,,,,,,,,YES,23,Bruin lieveheersbeestje,"Coccinelle brune, Coccinelle des épicéas, Coccinelle ""McDonald""",Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands",,,,,,,,,Various conifers,,,Bark crevices of conifers,,,,,,,,,,,,,,,,,,
33,18083,Aphidecta obliterata,livida,brown,cream/beige,,,Tan brown,4,5,,,4.0 - 5.0,with spots,M-shape,,Beige with brown m-mark,Dark oblique line posteriorly,2,Rare,Rare,Brown,"Adelgids, coccids",,,YES,27,Larch ladybird,Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands",,,Various conifers,,,Bark crevices of conifers,,YES,24,Lienka hôrna,Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands","Urban, artificial habitats",,,,Various conifers,,,Bark crevices of conifers,,,YES,24,Slunéčko lesní,Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands","Urban, artificial habitats",,,,Various conifers,,,Bark crevices of conifers,,,YES,48,Coccinella del larice,Conifer woodlands,,,Forests and woodlands,,,,,,,,,,"Larch, firs, pines, etc",,,Bark crevices of conifers,"The species is arboreal and tied to conifers, despite occasionally it can be found on beech and broadleaves woodlands. It is absent in the Islands","La specie è arboricola e legata alle conifere, anche se occasionalmente si rinviene anche in faggete e boschi di latifoglie. E' assente nelle Isole",NO,,,,,,,,,,,,,,,,,,,,,,YES,24,Bruin lieveheersbeestje,"Coccinelle brune, Coccinelle des épicéas, Coccinelle ""McDonald""",Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands",,,,,,,,,Various conifers,,,Bark crevices of conifers,,,,,,,,,,,,,,,,,,
34,18083,Aphidecta obliterata,sexnotata,brown,cream/beige,,,Tan brown,4,5,,,4.0 - 5.0,with spots,M-shape,,Beige with brown m-mark,Dark oblique line posteriorly,4-6,Rare,Rare,Brown,"Adelgids, coccids",,,YES,28,Larch ladybird,Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands",,,Various conifers,,,Bark crevices of conifers,,YES,31,Lienka hôrna,Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands","Urban, artificial habitats",,,,Various conifers,,,Bark crevices of conifers,,,YES,31,Slunéčko lesní,Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands","Urban, artificial habitats",,,,Various conifers,,,Bark crevices of conifers,,,YES,49,Coccinella del larice,Conifer woodlands,,,Forests and woodlands,,,,,,,,,,"Larch, firs, pines, etc",,,Bark crevices of conifers,"The species is arboreal and tied to conifers, despite occasionally it can be found on beech and broadleaves woodlands. It is absent in the Islands","La specie è arboricola e legata alle conifere, anche se occasionalmente si rinviene anche in faggete e boschi di latifoglie. E' assente nelle Isole",NO,,,,,,,,,,,,,,,,,,,,,,YES,25,Bruin lieveheersbeestje,"Coccinelle brune, Coccinelle des épicéas, Coccinelle ""McDonald""",Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands",,,,,,,,,Various conifers,,,Bark crevices of conifers,,,,,,,,,,,,,,,,,,
35,18083,Aphidecta obliterata,nigra,black,,,,Black,4,5,,,4.0 - 5.0,one colour,,,Black,None,0,None,,Brown,"Adelgids, coccids",,,YES,29,Larch ladybird,Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands",,,Various conifers,,,Bark crevices of conifers,,YES,48,Lienka hôrna,Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands","Urban, artificial habitats",,,,Various conifers,,,Bark crevices of conifers,,,YES,48,Slunéčko lesní,Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands","Urban, artificial habitats",,,,Various conifers,,,Bark crevices of conifers,,,YES,50,Coccinella del larice,Conifer woodlands,,,Forests and woodlands,,,,,,,,,,"Larch, firs, pines, etc",,,Bark crevices of conifers,"The species is arboreal and tied to conifers, despite occasionally it can be found on beech and broadleaves woodlands. It is absent in the Islands","La specie è arboricola e legata alle conifere, anche se occasionalmente si rinviene anche in faggete e boschi di latifoglie. E' assente nelle Isole",NO,,,,,,,,,,,,,,,,,,,,,,YES,50,Bruin lieveheersbeestje,"Coccinelle brune, Coccinelle des épicéas, Coccinelle ""McDonald""",Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands",,,,,,,,,Various conifers,,,Bark crevices of conifers,,,,,,,,,,,,,,,,,,
36,30651,Halyzia sedecimguttata,,yellow,,,,Orange,4,5,6,,4.5 - 6,none of them,,,Orange,White spots,12-16 (usually 16),No,No,Orange,Mildews,,,YES,15,Orange ladybird,Deciduous trees,,,Forests and woodlands,"Gardens, allotments and parklands",,,"Deciduous trees, particularly sycamore and ash",,,Leaf litter or in sheltered positions on trees,,YES,18,Lienka šestnásťškvrnná,Deciduous trees,,,Forests and woodlands,"Gardens, allotments and parklands","Urban, artificial habitats",,,,"Deciduous trees, particularly sycamore and ash",,,Leaf litter or in sheltered positions on trees,,,YES,18,Slunéčko šestnáctiskvrnné,Deciduous trees,,,Forests and woodlands,"Gardens, allotments and parklands","Urban, artificial habitats",,,,"Deciduous trees, particularly sycamore and ash",,,Leaf litter or in sheltered positions on trees,,,YES,21,,Deciduous trees,,,Forests and woodlands,"Gardens, allotments and parklands",,,,,,,,,"Deciduous trees, particularly sycamore and ash",,,Leaf litter or in sheltered positions on trees,,,YES,34,,Deciduous trees,,,Forests and woodlands,"Gardens, allotments and parklands",,,,,,,,,"Deciduous trees, particularly sycamore and ash",,,Leaf litter or in sheltered positions on trees,There is no updated information on their habitats in Portugal. Not present in the Archipelagos of the Azores and  Madeira., Não há nformação atualizada sobre os seus habitats.  Não está presente nos Arquipélagos dos Açores e da Madeira.,YES,16,Meeldauwlieveheersbeestje,"Grande coccinelle orange, Coccinelle orange",Deciduous trees,,,Forests and woodlands,"Gardens, allotments and parklands",,,,,,,,,"Deciduous trees, particularly sycamore and ash",,,Leaf litter or in sheltered positions on trees,,,,,,,,,,,,,,,,,,
37,199175,Exochomus quadripustulatus,,black,,,,Black,3,4,5,,3 - 4.5,one colour,,,Black,Red spots,2-4 (usually 4),No,No,Black,Coccids,,,YES,13,Pine ladybird,Various trees,,,Forests and woodlands,"Gardens, allotments and parklands",,,Various conifers,Various deciduous trees,Pine,"In leaf litter, foliage and bark crevices of evergreen trees and shrubs",,YES,8,Planétka štvorškvrnná,Various trees,,,Forests and woodlands,"Gardens, allotments and parklands","Urban, artificial habitats",,,,Various conifers,Various deciduous trees,Pine,"In leaf litter, foliage and bark crevices of evergreen trees and shrubs",,,YES,8,Planetka čtyřskvrnná,Various trees,,,Forests and woodlands,"Gardens, allotments and parklands","Urban, artificial habitats",,,,Various conifers,Various deciduous trees,Pine,"In leaf litter, foliage and bark crevices of evergreen trees and shrubs",,,YES,19,Coccinella del pino,Various trees,,,Forests and woodlands,"Gardens, allotments and parklands",Agricultural areas,,,,,,,,Various conifers,Various deciduous trees,Pine,"In leaf litter, foliage and bark crevices of evergreen trees and shrubs","Species able to tolerate a wide range of habitat and environmental conditions, despite having strong arboreal habits","Specie in grado di tollerare un ampia varietà di habitat e condizioni ambientali, anche se ha spiccate abitudini arboricole ",YES,11,,Various trees,,,Agricultural areas,Forests and woodlands,,,,,,,,,"Needled conifers, particularly pines",Deciduous trees,,"In leaf litter, foliage and bark crevices of evergreen trees and shrubs",Species common throughout the continental territory. It can be found on peach and cherry tree and cork oak. Not present in the Archipelagos of the Azores and Madeira.,"Espécie comum em todo o território continental. Presente em pessegueiros, cerejeiras e sobreiros. Não está presente nos Arquipélagos dos Açores e da Madeira.",YES,15,Viervleklieveheersbeestje,Coccinelle à virgules,Various trees,,,Forests and woodlands,"Gardens, allotments and parklands",Agricultural areas,,,,,,,,Various trees ,,,"In leaf litter, foliage and bark crevices of evergreen trees and shrubs",,,,,,,,,,,,,,,,,,
38,26686,Coccinella magnifica,,red,,,,Red,6,8,,,6.0 - 8.0,with white patch on each side,,,Black with anterior-lateral white marks,Black spots,5-11 (usually 7),Rare,No,Black,Aphids ,,,YES,38,Scarce ladybird,Pine forests,,,Forests and woodlands,Heathland,,,Various,Pine,,"Various, but close to ant nests",Close to the ants nests,YES,44,Lienka mravenčia,Pine forests,,,Forests and woodlands,Heathland,,,,,Various,Pine,,"Various, but close to ant nests",Close to the ants nests,Zvyčajne ju nájdeme v blízkosti mravcov,YES,44,Slunéčko mravenčí,Pine forests,,,Forests and woodlands,Heathland,,,,,Various,Pine,,"Various, but close to ant nests",Close to the ants nests,Blízko marvenišť,YES,55,,Pine forests,,,Forests and woodlands,Heathland,,,,,,,,,Various,Pine,,"Various, but close to ant nests","Myrmecophilic species, it lives close to ants. It is present only in Northern Italy, abstent in the South and in the Islands","Specie mirmecofila, vive in stretta associazione con le formiche. E' presente solo nell'Italia settentrionale, assente nel centro-sud e nelle Isole.",NO,,,,,,,,,,,,,,,,,,,,,,YES,44,"Schitterend lieveheersbeestje, Bosmierlieveheersbeestje","Coccinelle écarlate, Coccinelle des fourmilières",Pine forests,,,Forests and woodlands,Heathland,,,,,,,,,Various,Pine,,"Various, but close to ant nests",,,,,,,,,,,,,,,,,,
39,223865,Myzia oblongoguttata,,red,orange,yellow,,Chestnut,6,8,,,6.0 - 8.0,with white patch on each side,,,White with chestnut m-mark or trapezium,Cream stripes and spots,0-15 (usually 10),Common,Rare,Brown,Aphids ,Myrmecophily,,YES,35,Striped ladybird,Scots pine woodland,,,Forests and woodlands,"Gardens, allotments and parklands",,,Scots pine,,,Unknown,,YES,28,Lienka dlhoškvrnná,Scots pine woodland,,,Forests and woodlands,"Gardens, allotments and parklands",,,,,Scots pine,,,Unknown,,,YES,28,Slunéčko dlouhoskvrnné ,Scots pine woodland,,,Forests and woodlands,"Gardens, allotments and parklands",,,,,Scots pine,,,Unknown,,,YES,35,,Scots pine woodland,,,Forests and woodlands,"Gardens, allotments and parklands",,,,,,,,,Scots pine,,,Unknown,Found in Northern and Southern Italy,La specie è rinvenuta sia al nord che al sud Italia,YES,3,,Conifer woodlands,,,Forests and woodlands,,,,,,,,,,Conifers,,,unknown,Collected in Cypresses. Not present in the Archipelagos of the Azores and Madeira.,Colhida em Ciprestes. Não está presente nos Arquipélagos dos Açores e da Madeira.,YES,41,Gestreept lieveheersbeestje,Coccinelle zébrée,Scots pine woodland,,,Forests and woodlands,Heathland,,,,,,,,,Scots pine,,,Unknown,,,,,,,,,,,,,,,,,,
40,114324,Anisosticta novemdecimpunctata,red form,red,,,,July-April = beige April-June = reddish,4,,,,4,with spots,,,Beige or red with 6 black spots,Black spots,15-21 (usually 19),Sometimes,No,Brown,Aphids ,,,YES,20,Water ladybird,Reed-beds and wetlands,,,River shingle,Wet habitats,,,Reeds and rushes,,,"Between leaves and in stems of reeds, grass tussocks",,YES,37,Lienka devätnásťbodková,Reed-beds and wetlands,,,Wet habitats,,,,,,Reeds and rushes,,,"Between leaves and in stems of reeds, grass tussocks",,,YES,37,Slunéčko devatenáctitečné,Reed-beds and wetlands,,,Wet habitats,,,,,,Reeds and rushes,,,"Between leaves and in stems of reeds, grass tussocks",,,YES,31,,Reed-beds and wetlands,,,River shingle,Wet habitats,,,,,,,,,Reeds and rushes,,,"Between leaves and in stems of reeds, grass tussocks","The species lives in marshlands or river banks, and it can be found on acquatic and riparian plants, especially the common reeds (Phragmites communis)","La specie vive in ambienti di palude o lungo le rive di corsi d'acqua ed è riscontrabile sulla vegetazione acquatica e ripariale, specialmente sulla cannuccia (Phragmites communis)",YES,36,,Reed-beds and wetlands,,,Wet habitats,,,,,,,,,,Reeds and rushes,,,"Between leaves and in stems of reeds, grass tussocks",Not present in the Archipelagos of the Azores and Madeira.,Não está presente nos Arquipélagos dos Açores e da Madeira.,YES,27,Negentienpuntlieveheersbeestje,"Coccinelle des roseaux, Coccinelle des marais",Reed-beds and wetlands,,,Wet habitats,,,,,,,,,,Reeds and rushes,,,"Between leaves and in stems of reeds, grass tussocks",,,,,,,,,,,,,,,,,,
41,114324,Anisosticta novemdecimpunctata,yellow form,yellow,,,,July-April = beige April-June = reddish,4,,,,4.1,with spots,,,Beige or red with 6 black spots,Black spots,15-21 (usually 19),Sometimes,No,Brown,Aphids ,,,YES,21,Water ladybird,Reed-beds and wetlands,,,River shingle,Wet habitats,,,Reeds and rushes,,,"Between leaves and in stems of reeds, grass tussocks",,YES,36,Lienka devätnásťbodková,Reed-beds and wetlands,,,Wet habitats,,,,,,Reeds and rushes,,,"Between leaves and in stems of reeds, grass tussocks",,,YES,36,Slunéčko devatenáctitečné,Reed-beds and wetlands,,,Wet habitats,,,,,,Reeds and rushes,,,"Between leaves and in stems of reeds, grass tussocks",,,YES,32,,Reed-beds and wetlands,,,River shingle,Wet habitats,,,,,,,,,Reeds and rushes,,,"Between leaves and in stems of reeds, grass tussocks","The species lives in wetlands, especially on common reeds (Phragmites communis)","La specie vive in ambienti di palude, specialmente sulla cannuccia (Phragmites communis)",YES,37,,Reed-beds and wetlands,,,Wet habitats,,,,,,,,,,Reeds and rushes,,,"Between leaves and in stems of reeds, grass tussocks",Not present in the Archipelagos of the Azores and Madeira.,Não está presente nos Arquipélagos dos Açores e da Madeira.,YES,26,Negentienpuntlieveheersbeestje,"Coccinelle des roseaux, Coccinelle des marais",Reed-beds and wetlands,,,Wet habitats,,,,,,,,,,Reeds and rushes,,,"Between leaves and in stems of reeds, grass tussocks",,,,,,,,,,,,,,,,,,
42,124073,Coccidula rufa,,red,orange,,,Russet or burgundy,3,,,,2.5-3,one colour,,,Russet or burgundy,No spots,0,None,No,Russet ,Aphids ,,,NO,,,Reed-beds and wetlands,,,River shingle,Wet habitats,,,Reeds and rushes,,,,,YES,27,Kométka červenavá,Reed-beds and wetlands,,,Wet habitats,,,,,,Reeds and rushes,,,,,,YES,27,Kometka červenavá,Reed-beds and wetlands,,,Wet habitats,,,,,,Reeds and rushes,,,,,,YES,25,,Reed-beds and wetlands,,,River shingle,Wet habitats,,,,,,,,,Reeds and rushes,,,In low herbage,The species in common in wetlands and marshlands,Specie comune negli ambienti umidi e paludosi. Non è presente nelle Isole.,YES,33,,Reed-beds and wetlands,,,Wet habitats,,,,,,,,,,Reeds and rushes,,,In low herbage,There is no updated information on their habitats in Portugal. Habitats not Not present in the Archipelagos of the Azores and Madeira., Não há nformação atualizada sobre os seus habitats. Não está presente nos Arquipélagos dos Açores e da Madeira.,YES,35,Ongevlekt rietkapoentje,Coccidule des marais,Reed-beds and wetlands,,,Wet habitats,,,,,,,,,,Reeds and rushes,,,In low herbage,,,,,,,,,,,,,,,,,,
